"","area","date","source","med_inc"
"261","Selwyn District",1996-03-31,"Census, median household income",39100
"262","Selwyn District",2001-03-31,"Census, median household income",47200
"263","Selwyn District",2006-03-31,"Census, median household income",62500
"264","Selwyn District",2013-03-31,"Census, median household income",85100
"265","Selwyn District",2018-03-31,"Census, median household income",103100
"266","South Taranaki District",1996-03-31,"Census, median household income",33300
"267","South Taranaki District",2001-03-31,"Census, median household income",37700
"268","South Taranaki District",2006-03-31,"Census, median household income",45400
"269","South Taranaki District",2013-03-31,"Census, median household income",56350
"270","South Taranaki District",2018-03-31,"Census, median household income",58400
"271","South Waikato District",1996-03-31,"Census, median household income",34600
"272","South Waikato District",2001-03-31,"Census, median household income",37800
"273","South Waikato District",2006-03-31,"Census, median household income",41800
"274","South Waikato District",2013-03-31,"Census, median household income",49200
"275","South Waikato District",2018-03-31,"Census, median household income",57000
"276","South Wairarapa District",1996-03-31,"Census, median household income",28300
"277","South Wairarapa District",2001-03-31,"Census, median household income",34850
"278","South Wairarapa District",2006-03-31,"Census, median household income",43766.6666666667
"279","South Wairarapa District",2013-03-31,"Census, median household income",57750
"280","South Wairarapa District",2018-03-31,"Census, median household income",70600
"281","Southland District",1996-03-31,"Census, median household income",33200
"282","Southland District",2001-03-31,"Census, median household income",41000
"283","Southland District",2006-03-31,"Census, median household income",48633.3333333333
"284","Southland District",2013-03-31,"Census, median household income",63800
"285","Southland District",2018-03-31,"Census, median household income",70900
"286","Southland Region",1996-03-31,"Census, median household income",32000
"287","Southland Region",2001-03-31,"Census, median household income",35100
"288","Southland Region",2006-03-31,"Census, median household income",44200
"289","Southland Region",2013-03-31,"Census, median household income",57400
"290","Southland Region",2018-03-31,"Census, median household income",64000
"291","Stratford District",1996-03-31,"Census, median household income",29800
"292","Stratford District",2001-03-31,"Census, median household income",34900
"293","Stratford District",2006-03-31,"Census, median household income",42275
"294","Stratford District",2013-03-31,"Census, median household income",53000
"295","Stratford District",2018-03-31,"Census, median household income",59900
"296","Taranaki Region",1996-03-31,"Census, median household income",31900
"297","Taranaki Region",2001-03-31,"Census, median household income",34300
"298","Taranaki Region",2006-03-31,"Census, median household income",44700
"299","Taranaki Region",2013-03-31,"Census, median household income",58400
"300","Taranaki Region",2018-03-31,"Census, median household income",63600
"301","Tararua District",1996-03-31,"Census, median household income",30000
"302","Tararua District",2001-03-31,"Census, median household income",33300
"303","Tararua District",2006-03-31,"Census, median household income",41075
"304","Tararua District",2013-03-31,"Census, median household income",47450
"305","Tararua District",2018-03-31,"Census, median household income",53500
"306","Tasman District",1996-03-31,"Census, median household income",29400
"307","Tasman District",2001-03-31,"Census, median household income",32800
"308","Tasman District",2006-03-31,"Census, median household income",43000
"309","Tasman District",2013-03-31,"Census, median household income",53500
"310","Tasman District",2018-03-31,"Census, median household income",64600
"311","Tasman Region",1996-03-31,"Census, median household income",29400
"312","Tasman Region",2001-03-31,"Census, median household income",32800
"313","Tasman Region",2006-03-31,"Census, median household income",43000
"314","Tasman Region",2013-03-31,"Census, median household income",53500
"315","Tasman Region",2018-03-31,"Census, median household income",64600
"316","Taupo District",1996-03-31,"Census, median household income",33100
"317","Taupo District",2001-03-31,"Census, median household income",36900
"318","Taupo District",2006-03-31,"Census, median household income",47900
"319","Taupo District",2013-03-31,"Census, median household income",56600
"320","Taupo District",2018-03-31,"Census, median household income",65900
"321","Tauranga City",1996-03-31,"Census, median household income",29900
"322","Tauranga City",2001-03-31,"Census, median household income",33350
"323","Tauranga City",2006-03-31,"Census, median household income",45500
"324","Tauranga City",2013-03-31,"Census, median household income",55800
"325","Tauranga City",2018-03-31,"Census, median household income",69800
"326","Thames-Coromandel District",1996-03-31,"Census, median household income",26400
